single_value_1,single_value_2,multiple_value_1
92.87748956855792,64.31905151060332,"[21.67962916, 24.71365784, 31.09256028, 34.52695434, 27.58992908, 32.50603482, 23.20172180, 30.59852606, 26.72618141, 23.36256901]"
81.66770822350854,10.712169267376662,"[43.49956789, 35.31349375, 36.33105034, 34.71757756, 32.33364807, 33.17829340, 37.67482681, 41.22282492, 33.62483081, 46.12907871]"
121.22534439686112,98.31683042820758,"[52.70874691, 55.54635153, 62.37529819, 67.52971902, 64.29184183, 59.17342208, 54.52997502, 57.46476244, 65.02507313, 59.81570760]"
81.13068775468835,54.78328292046123,"[54.72660815, 55.16437123, 52.57674479, 53.33442778, 54.14589438, 50.92716493, 47.73791921, 46.99919281, 54.17440779, 37.50494352]"
91.69203466959712,2.10334972016838,"[35.65636873, 40.64491950, 54.30915637, 52.14926961, 39.95759175, 33.27948589, 37.79737413, 45.16377590, 35.35895700, 37.11395151]"
125.72801835359073,50.49721677040725,"[39.07054936, 47.00170572, 48.78480516, 51.30039186, 37.24817767, 48.64409235, 41.88394563, 44.77433984, 56.61502335, 44.57097175]"
104.25531720971968,203.4435254140038,"[56.73027297, 60.68056531, 53.94844354, 54.72285267, 50.10056034, 52.76741190, 62.20238469, 54.03253427, 52.42866403, 59.41602076]"
103.50768136645961,28.2899239425511,"[65.00950244, 52.78427443, 53.77078710, 62.68090774, 61.66680087, 56.13350850, 51.73415877, 51.05996551, 56.20487874, 55.93590459]"
120.24761058479262,38.99631409374279,"[24.78300009, 21.97220092, 19.51209111, 17.77305292, 26.69285635, 21.20837170, 31.37382160, 30.04668335, 29.79421346, 24.04934592]"
92.298272010667,10.064943869318386,"[15.67182958, -0.38413107, 21.77001068, 13.38564488, 13.45968665, 4.85207570, 11.77917596, 6.07081677, 3.35377944, 11.97087048]"
136.45473340384086,69.5451745074425,"[74.55396444, 81.92003549, 79.43003824, 71.86790433, 74.08670869, 76.54259603, 73.41311391, 78.62776396, 77.03446956, 75.67059957]"
89.26966450928376,20.78421654980153,"[37.92906162, 50.10551251, 56.56686185, 48.74665148, 52.58083497, 48.31007320, 49.43932239, 49.90194394, 47.30527385, 41.89468049]"
86.32264419946465,83.98249863667318,"[51.64637154, 55.13379918, 59.29778186, 60.06001847, 57.24370864, 53.55610338, 50.40993078, 58.69052163, 55.21378717, 61.10770951]"
79.70843142627164,4.203976315870906,"[77.09555889, 79.03524216, 82.67932442, 88.24611693, 85.18233938, 77.86376759, 76.67087360, 88.23883399, 81.40141187, 88.74761145]"
99.03743079204816,61.78323735956218,"[67.45700108, 62.72425926, 61.03952403, 61.30116537, 64.34542139, 66.80843873, 69.70505643, 66.13501553, 61.86744273, 67.79016752]"
77.97848713888051,109.25597950954943,"[40.18045276, 50.70773425, 44.74319264, 41.20701587, 45.47122357, 45.78634298, 47.50978836, 50.35869100, 47.55809623, 45.52014086]"
60.58247377877135,31.256323591206797,"[32.92582882, 27.49246798, 29.58291415, 34.76948520, 34.27931730, 31.90081657, 30.07428977, 25.80357917, 28.57977457, 22.65738886]"
86.71064879567709,15.602516852575803,"[53.96446532, 56.89384490, 59.52230831, 57.06598369, 49.27000515, 61.37335067, 49.72752705, 55.09393391, 51.52607914, 57.64973745]"
101.0929229006825,8.291004956900071,"[59.14636420, 56.83121710, 55.65337100, 54.54142594, 50.64745977, 54.01419616, 55.74943220, 53.13353018, 48.57693000, 59.48528729]"
82.8426425034064,47.149666392431996,"[74.40247839, 72.03434053, 63.79041137, 76.79418291, 68.59402500, 68.48848286, 68.76176045, 83.18857747, 70.59632090, 73.61272062]"
117.71551661046001,11.751629105773981,"[30.12375367, 31.42889049, 27.13333645, 31.90445794, 34.27420106, 30.26788886, 27.34035509, 28.05121643, 29.82589405, 21.26236326]"
111.95431165901732,14.189367811184006,"[59.45788194, 45.30396702, 58.54633742, 52.15874624, 51.53416958, 58.62476546, 46.06428717, 56.19254871, 49.49832821, 47.40755981]"
68.76024298094177,42.0128340893992,"[66.74744241, 74.75002249, 78.61658826, 72.73746606, 66.46005184, 66.05459193, 69.56043563, 69.76753564, 70.50236864, 73.30285511]"
97.86585559029714,110.56825789741505,"[43.15362993, 55.30807287, 44.36961244, 38.45708560, 27.72832621, 43.53871995, 40.72014932, 49.32322165, 38.56246825, 42.37296416]"
86.00964946993204,18.60653360432715,"[50.08414752, 59.39999782, 56.95206383, 57.37563854, 58.56257152, 60.56244515, 63.88665999, 63.51923209, 60.99786974, 59.31350201]"
102.5716085959845,72.93477941515418,"[67.09426391, 54.96656455, 54.56368670, 58.41800227, 58.04555857, 63.99853655, 66.42146879, 57.84789432, 59.09449271, 58.41735244]"
104.26526963873823,6.814034556015623,"[39.40808047, 39.43599956, 39.65491092, 28.93559910, 40.83744490, 29.36800332, 42.87589194, 29.56098377, 44.17371229, 33.68095035]"
121.85028424212781,8.40938960765523,"[35.43543287, 40.82088350, 25.83054898, 37.37316293, 27.81987921, 29.56207662, 38.49118190, 35.56491187, 32.03943211, 37.85647116]"
38.02720535786878,76.89323549293802,"[42.80859243, 56.17177646, 42.11289880, 45.93173412, 51.05895095, 50.53824555, 51.13977200, 59.57214026, 46.20415017, 48.56010409]"
151.0939856544254,24.358592216790946,"[72.51222696, 64.06648673, 60.11503441, 67.11936911, 70.93358043, 64.70374587, 69.31112892, 73.25845502, 66.90448847, 61.38588808]"
73.32943745759637,0.7645459167191727,"[48.39068818, 45.35876062, 44.18346024, 40.97418015, 45.94649982, 36.44373417, 36.27226837, 46.74466016, 42.58883456, 38.99494794]"
131.2741978827636,158.84963948056094,"[39.51203152, 36.71107565, 43.16726769, 35.92941176, 38.81398325, 34.53246380, 39.63041500, 40.56811182, 43.12139951, 32.19889295]"
122.09992084440857,81.99035753584542,"[51.65542708, 61.34958180, 58.58566226, 59.86134604, 55.60449084, 60.17229043, 63.43203707, 63.66064287, 64.36379808, 61.96195475]"
70.6642635590335,6.326766860401108,"[50.97395900, 41.44840560, 40.01033934, 54.52546995, 54.29462315, 50.26059868, 56.30910468, 47.69782355, 46.44181755, 51.47117778]"
88.31529134798788,5.21693721639968,"[37.17777078, 27.28811216, 36.22207843, 40.08623306, 38.93086789, 32.70798367, 37.81385496, 32.35949503, 36.18710504, 33.62860308]"
71.7161000793773,6.234658007178043,"[62.04020887, 63.13910549, 61.78144359, 70.79407904, 65.13910143, 58.79151605, 63.94872749, 60.61070466, 56.16551024, 57.69518382]"
69.9705660249761,40.0319150912513,"[27.72435300, 24.74325183, 31.91549106, 21.35528459, 25.55364127, 27.42151599, 29.62202406, 29.98941724, 26.38687956, 24.56174200]"
113.99744514520663,38.657260521979325,"[41.67639284, 33.03710936, 43.07322710, 42.53629417, 41.84256081, 43.36097232, 40.12917200, 50.88815966, 49.52087938, 47.38477383]"
67.41688666769163,33.591243189467825,"[40.34049871, 51.65102091, 42.34323368, 52.85342268, 46.74442989, 49.27307627, 48.69799473, 46.02853641, 40.13798983, 45.99495275]"
96.75054481299374,10.645769090249352,"[46.18922007, 51.55162875, 49.49035639, 42.18766101, 50.51033599, 52.61832489, 44.24279260, 55.19099371, 45.73958908, 42.25525299]"
92.00298651584443,18.192916487317987,"[34.93901225, 34.21803568, 30.30541351, 32.98906778, 28.48742177, 32.84579119, 26.66009609, 33.11608897, 32.13025450, 39.22759702]"
71.37307284292996,227.33342510737234,"[60.07472066, 49.58828753, 54.06575988, 56.06047580, 48.10929490, 63.36103053, 47.39274146, 59.33384801, 57.10542988, 53.76481527]"
105.76342004437385,24.97083876891583,"[24.80248551, 42.15764093, 38.85168883, 39.92281357, 24.62936889, 41.69444595, 38.74774214, 37.07405591, 41.65763844, 36.12795127]"
116.08558428704026,6.992841918369535,"[48.13263676, 43.68710679, 43.27529541, 49.63531451, 33.37356266, 41.81868685, 36.62405612, 43.69042755, 48.12206343, 44.01102953]"
111.40676505518081,14.768207475033538,"[33.93600463, 35.41058594, 38.76955131, 40.47711325, 28.94018932, 32.77590530, 41.85568630, 33.20148234, 36.55095049, 40.58716472]"
75.22605989584707,89.56579201055206,"[52.08465769, 53.37617459, 48.70420489, 44.69484830, 61.46088743, 56.41533863, 51.20861727, 54.44885775, 62.07845800, 59.87081161]"
104.5090148653913,99.85242656231789,"[27.21610428, 42.51613113, 42.00977565, 35.06605360, 27.28097709, 46.61311483, 34.02001417, 40.45798363, 40.72821440, 46.81430196]"
84.56432374807898,81.3456922798441,"[50.57709797, 36.76764730, 42.77108309, 58.18052414, 41.30236170, 44.93084536, 45.44221322, 48.48664763, 50.25752396, 52.60283343]"
112.07409089010687,22.909079246957056,"[40.05600517, 45.59018505, 46.73906581, 43.69841788, 48.12781618, 32.03979908, 43.25862407, 33.18629472, 38.48749999, 41.39407774]"
98.90219551201746,51.384382863470435,"[42.90802126, 46.86625276, 50.09789062, 51.25809580, 49.97176409, 54.29011653, 44.80445515, 52.50542496, 40.91226439, 48.70024222]"
98.7104874092341,14.52478794628363,"[46.54548566, 47.34471414, 53.70918499, 58.33215100, 48.95803453, 52.56215445, 44.08144872, 51.53567159, 50.43799368, 41.29391489]"
92.12970493841755,34.59868896717019,"[50.00366332, 40.79953759, 46.14439889, 39.97571690, 45.33483566, 46.42464161, 36.91386773, 42.60981280, 44.07576281, 47.87621120]"
94.88420419721649,12.769291806036104,"[66.84966057, 62.06360220, 65.59375914, 67.89883465, 65.32844166, 66.86261046, 68.18316824, 61.78203983, 79.87538013, 75.88062305]"
138.90052046463157,91.89850198576688,"[43.98795978, 41.39758869, 48.52242323, 47.94446323, 45.63513330, 57.03801073, 42.04200551, 51.03100021, 32.31419656, 40.24736802]"
113.5225939491214,81.87087179924542,"[70.11214638, 73.22907520, 71.88719197, 63.77604556, 80.51918657, 64.09654223, 70.75719482, 69.89060823, 68.33430427, 69.38884394]"
111.34907827487916,116.37021022715398,"[40.38440526, 33.15218664, 33.83808380, 38.70475167, 37.50281983, 31.33935283, 27.79265119, 34.61315129, 35.90788847, 39.69011925]"
97.51283328894532,9.713038255962507,"[54.28944969, 51.65227273, 47.25794760, 50.40453799, 42.28437452, 59.23041507, 45.44381482, 57.07367920, 52.82936603, 41.30065849]"
119.55486779269249,40.67814635108879,"[57.14687350, 53.14359519, 48.99061999, 48.47939887, 56.16452009, 49.95585106, 60.66803886, 48.00398473, 46.87604427, 49.78311721]"
107.38750062528428,18.59919704762206,"[19.60862174, 23.62401050, 26.82740369, 31.07867331, 35.19286553, 34.19039102, 26.22860274, 27.35351771, 30.60862312, 27.24758720]"
99.19214883536284,41.767883847719304,"[68.60427501, 66.11371451, 66.59054675, 76.24299140, 66.47855718, 60.22655125, 73.40488537, 70.75173570, 71.60324511, 68.27124839]"
78.15264460774897,12.330638782586968,"[40.78575010, 42.59113438, 57.55289298, 37.91899485, 47.30880831, 49.31164546, 48.60785818, 51.49986037, 48.92563540, 46.43034229]"
98.32576411196716,38.487170212487534,"[27.80795467, 30.24457995, 34.32490240, 38.02191934, 24.37175372, 31.83972651, 35.62251891, 21.17451632, 31.34058957, 28.28534962]"
131.05741086488578,45.02450721174463,"[38.10445816, 33.10596540, 38.72054772, 38.26406982, 38.93800548, 44.25609444, 38.01349282, 47.06512130, 36.71514047, 41.94555449]"
95.39838608633683,86.27102647010713,"[84.73549487, 83.00064083, 83.72845957, 78.35524562, 83.51025911, 81.37856781, 78.32572746, 74.37842053, 83.58175387, 85.62406492]"
106.60312711191331,19.375518350178158,"[46.43206244, 42.05560924, 35.74012532, 34.14969579, 43.40388916, 37.14952710, 34.63756548, 39.63108487, 37.40366923, 47.50412834]"
96.45743219720889,8.344015904886298,"[32.76162310, 33.00415963, 30.91794938, 19.70796838, 31.60316382, 27.11809046, 36.01006405, 18.00555026, 23.03192699, 14.12649645]"
87.78374489920047,29.576665309521665,"[51.22887460, 42.39310117, 42.58409394, 41.58953703, 46.51557253, 38.91522423, 41.71312457, 51.40679894, 44.71555924, 48.06881875]"
69.18304187721884,64.93850113390786,"[58.64617167, 67.23717983, 57.92661538, 62.18041922, 57.37561762, 57.75413378, 60.45764761, 66.79645223, 55.05535738, 72.51760790]"
128.1587074240553,18.109256264721015,"[55.42821986, 48.28799125, 50.72591878, 56.68576392, 52.53064975, 57.48318823, 47.25062722, 54.63266890, 55.85510932, 59.00796118]"
114.0566374187657,31.549696402955863,"[49.98590372, 55.75642111, 54.88082913, 60.94734048, 57.29201782, 52.97233435, 52.17297485, 55.81417171, 59.89404316, 72.66440864]"
59.151410850979204,32.609503281607736,"[28.33564728, 33.04866841, 35.70841381, 38.36572937, 25.02135421, 33.27950622, 30.53664356, 27.82704803, 35.45873816, 44.11882906]"
84.3705849799191,126.81989497453046,"[40.12970694, 36.63977896, 31.74010036, 34.50067551, 45.13684026, 44.02415436, 47.33853967, 41.24380729, 37.40750430, 43.77480803]"
104.00124884795092,151.11742971531962,"[35.98594296, 36.99834069, 28.27735504, 48.53281253, 43.66232685, 30.55417302, 40.06983614, 33.92880416, 32.35300194, 37.54336827]"
122.29233359606542,70.14518204504236,"[1.81341715, 3.59633382, 8.02185099, 11.02030816, 5.40141541, 14.77577518, -2.05379508, 6.30481211, 5.10223313, 14.06124391]"
93.28307144775745,27.2490527120817,"[75.04618546, 80.84980558, 80.07740105, 76.92065815, 63.03593935, 76.56106387, 73.17266782, 75.25446593, 76.28647187, 73.25259805]"
107.5343919159041,35.65098490080605,"[35.30367276, 34.75823135, 36.13857330, 34.67946388, 41.36850166, 46.20977201, 45.04012462, 37.28210238, 35.37707876, 30.76964068]"
105.12935245252969,41.29223874178493,"[50.62704700, 54.43334816, 51.23727095, 60.34534109, 47.65882076, 62.11331755, 52.33181443, 42.39113712, 56.50991072, 54.71045161]"
64.00107135587673,54.058054200929384,"[39.31877075, 39.35668525, 39.68948552, 41.04341714, 41.92651926, 29.06805919, 37.97167397, 35.58518059, 32.14869753, 34.07605612]"
122.86905542847563,32.07312168510998,"[38.31466820, 31.98908676, 44.40463624, 39.00193130, 39.04796745, 29.56562027, 33.70223910, 38.86181060, 42.93520317, 42.04981830]"
66.43380514221016,72.78233559903012,"[47.59741628, 44.74346174, 54.98060724, 50.34888125, 34.36539896, 46.32033323, 45.78904592, 46.63308349, 47.03558949, 45.63269876]"
