# Total candidates: 1000
# Pareto candidates: 28
# Reduction ratio: 0.028
candidate_index,multiple_value_1,single_value_1,single_value_2
28,42.80859243,38.02720535786878,76.89323549293802
73,1.81341715,122.29233359606542,70.14518204504236
119,35.79041556,52.96088410138631,108.87304508494816
146,29.94283899,83.96747929581667,143.5686002804151
214,44.05212909,67.48720220323901,204.31482926504455
242,71.96957119,62.71230104434829,159.8646076316626
361,7.09228163,102.13718701599204,83.22092018033428
376,60.17269783,49.292887933738605,92.63998508604632
387,14.69282069,153.14649138710067,234.31533147393236
396,28.25342642,91.2324779275759,168.56007367085024
499,55.70445228,57.001923870043136,116.59426395245562
576,17.38567651,59.85882887795266,121.26245533056374
602,44.45201956,69.15145080044543,233.2691091735728
604,43.24083436,95.03778488284348,194.59445115867933
625,-2.40998562,142.04557641516007,67.99336491079264
687,11.88715215,102.07202885480552,170.1912535548186
694,-4.15784456,71.01787439659866,63.53790522916969
702,46.60333522,50.80376287171984,80.26268167916172
703,-10.60388933,73.10057835068753,13.301524059964931
709,7.84126852,92.02150252818376,111.71699156825454
712,14.96999447,101.40618161507554,132.64999414540313
741,13.94947996,82.76917058932366,100.7292103675516
754,25.41715702,96.63488411342286,252.4532611119901
756,65.5258409,99.75976663382816,310.9048397913626
779,33.28660345,64.66470178781077,166.44668243055403
839,13.58592386,80.54903941997507,66.13000651553777
949,23.01684696,89.01056189566323,144.21820938381276
989,24.92503463,39.5533006311834,50.434761265798045
